country,motto
Switzerland," One for all, all for one"
 Syria," Unity, Freedom, Socialism"
Tajikistan," Independence, Freedom, Homeland"
 Tanzania, Freedom and Unity
 Thailand," Nation, Religion, King"
 Togo," Work, liberty, homeland"
 Tonga, God and Tonga are my Inheritance
Trinidad and Tobago," Together we aspire, together we achieve"
Tunisia," Freedom, Order, Justice"
Turkey, Sovereignty unconditionally belongs to the People
Turkmenistan, Turkmenistan is the motherland of Neutrality
Tuvalu, Tuvalu for the Almighty
 Uganda, For God and My Country
 Ukraine, No official motto
 United Arab Emirates," God, Nation, President"
 United Kingdom, No official motto
 United States, In God We Trust
 Uruguay, Liberty or Death
 Uzbekistan, The Strength is in The Justice
 Vanuatu, In God we stand
 Vatican City, No official motto
 Venezuela, no official motto. 
 Vietnam," Independence, Liberty, Happiness"
 Yemen," God, Homeland, Revolution, Unity"
 Zambia," One Zambia, One Nation"
 Zimbabwe," Unity, Freedom, Work"
