"Horodatage","Geschlecht","Alter","Ausbildung","Deutsch...5","Hunde, die bellen, beißen nicht.","Eine Krähe hackt der andern kein Auge aus.","Die Katze lässt das Mausen nicht.","Geduld bringt Rosen.","Es fällt keine Eiche vom ersten Streiche.","Ein fauler Apfel steckt hundert an.","Schwein haben","jemandem einen Esel bohren","ein alter Hase sein","jemanden auf die Palme bringen","für jemanden die Kastanien aus dem Feuer holen","etwas durch die Blume sagen","1.     Eine Schwalbe macht noch ...","2.  Den Eseln, die das Korn zur Mühle tragen,  ...","3. Der Katzen Scherz ist …","4. Ein rollender Stein setzt ...","5. Unter Dornen wachsen ...","6. Wer das Laub fürchtet, bleibe ...","7. jemanden auf den Hund ...","8. arm sein wie eine ...","9. aus einer Mücke einen …","10. jemandem Rosen auf den Weg ...","11.  die Lorbeeren ...","12.  in die Binsen ...","Nennen Sie die zwei Phraseologismen (hier Sprichwörter und/oder sprichwörtliche Redensarten) mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Nennen Sie die drei Sprichwörter mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Geben Sie die drei sprichwörtlichen Redensarten mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","1.  Wer Gerste säen will, muss es den Hühnern nicht erzählen.","2. Einem geschenkten Gaul sieht man nicht ins Maul.","3. Eine schöne Blume steht nicht lange am Wege.","4. Keine Rose ohne Dornen.","5. Eulen nach Athen tragen","4. Perlen vor die Säue streuen","5. im Gerstenfeld mit seinen Gedanken sein","...40","6. bekannt sein wie ein gescheckter Hund","10. schlafen wie Dachs","1. Wer eine Elster ausschickt, dem kommt ein bunter Vogel wieder.","2. Lieber den Spatz in der Hand als eine Taube auf dem Dach.","3. Ein Esel schimpft den anderen Langohr.","4.  Ein fauler Apfel steckt hundert an.","5.  in den Nesseln sitzen","6.  jemanden hinter die Fichte führen","Deutsch...49","...50","Frage 1: 
Nennen Sie die zwei Phraseologismen mit Tier- und/oder Pflanzennamen, die Sie am häufigsten verwenden bzw. hören.","Bitte notieren Sie hier Ihre E-Mail-Adresse, wenn Sie an den Ergebnissen der Befragung interessiert sind.","Wie gut kennen Sie die folgenden Sprichwörter und sprichwörtlichen Redensarten?","...54","6.  jmdn. hinter die Fichte führen","7","...57"
2023-07-18 17:16:47,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","nicht gut bekannt","unbekannt","gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,NA,NA,"bringen","Kirchenmaus","Elefanten machen",NA,NA,"jagen?",NA,NA,NA,"unbekannt","Wenn man ein Geschenk erhält, beschwert man sich nicht darüber (weil es nicht schön ist, nicht ganz dem Geschmack entspricht etc.)","unbekannt",NA,NA,"Etwas verschwenden","unbekannt",NA,"unbekannt (ich kenne: ""bekannt sein wie ein bunter Hund"" = sehr bekannt sein)",NA,"unbekannt","keine Variation bekannt","unbekannt","unbekannt","sich in die Nesseln setzen","unbekannt",NA,NA,"Die zwei sind wie Katz und Maus. / Der Apfel fällt nicht weit vom Stamm.",NA,NA,NA,NA,NA,NA
2023-07-21 09:08:39,"weiblich","18-24 Jahre","Bachelor-Abschluss","Muttersprache","gut bekannt","nicht gut bekannt","gut bekannt","nicht gut bekannt","unbekannt","gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","nicht gut bekannt",NA,NA,NA,NA,NA,NA,NA,"Maus","Elefanten machen.",NA,"gewinnen.",NA,NA,NA,NA,"Kenne ich nicht.","Wenn man etwas Geschenk bekommt hinterfragt man das nicht.","Kenne ich nicht.",NA,NA,"Etwas wertvolles jemandem geben der s nicht schätzt.","Kenne ich nicht.",NA,"Kenne ich nicht.",NA,"Kenne ich nicht.","Kenne ich nicht.","Kenne ich nicht.","Kenne ich nicht.","Kenne ich nicht.","Kenne ich nicht.",NA,NA,"Zwei Fliegen mit einer Klappe schlagen. Einem geschenkten Gaul schaut man nicht ins Maul.",NA,NA,NA,NA,NA,NA
2023-07-18 20:01:57,"weiblich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","unbekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","keinen Star",NA,NA,NA,NA,NA,NA,NA,"Elefanten machen",NA,"ernten","gehen",NA,NA,NA,"unbekannt","den Wert eines Geschenks nicht überprüfen","unbekannt",NA,NA,"etwas Kostbares verschwenden","unbekannt",NA,"sehr bekannt sein für etwas Ungewöhnliches",NA,NA,"Lieber den Spatz in der Hand als die Taube auf dem Dach",NA,NA,NA,"jemanden hinters Licht führen",NA,NA,"Perlen vor die Säue werfen; die Katze aus dem Sack lassen",NA,NA,NA,NA,NA,NA
2024-03-12 08:29:08,"weiblich","65 und älter","Promotion","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","kommt die Spreu","der Mäuse Tod","kein Moos an","Rosen","zuhause","bringen","keine Ahnung","Elefanten machen","werfen","ernten","gehen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"keine Ahnung","jemanden hinters Licht führen",NA,NA,"das Pferd am Schwanz aufzäumen / einen Vogel haben",NA,NA,NA,NA,NA,NA
2024-03-12 15:12:45,"männlich","35-44 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","-","-","kein Moos an","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","hauen",NA,NA,NA,"keine Ahnung","Das Geschenk soll man nicht negativ bewerten.","kenne ich nicht","Jede Sache hat ihre Schattenseite.","-","Überflüssiges machen","kenne ich nicht",NA,"sehr gut bekannt sein","tief schlafen","kenne ich nicht","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","-","-","keine Ahnung","jemanden hinters Licht führen",NA,NA,"Hungrige Schweine wühlwn am meisten. / Wenn der Baum gefällt ist, rühmt man seinen Schatten.",NA,NA,NA,NA,NA,NA
2024-03-15 10:11:46,"männlich","25-34 Jahre","Master-Abschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","ich weiss nicht","keine Ahnung","weiss ich nicht","Rosen","aus dem Walde","keine Ahnung","Kirchenmaus","Elefanten machen","streuen","-","gehen",NA,NA,NA,"keine Ahnung","An einem Geschenk soll man nicht mäkeln.","-","Jedes Ding hat zwei Seiten: eine gute und eine schlechte.","-","keine Ahnung","bei einer Sache unkonzentriert sein",NA,"sehr gut bekannt sein","Taugenichts sein","-","Der Spatz in der Hand ist besser als eine Taube auf dem Dach.","keine Variante","-","-","jemanden hinters Licht führen",NA,NA,"jemanden duch den Kakao ziehen / Jede Bäuerin lobt ihre Kuh.",NA,NA,NA,NA,NA,NA
2024-03-02 10:52:29,"männlich","65 und älter","Sekundarabschluss","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","wird Stroh","-","-","Rosen","-","-","-","Elefanten machen","werfen","ernten","gehen",NA,NA,NA,"-","Man prüft kein Geschenk nach.","Die schönen Frauen sind schnell vergeben.","Es gibt keinen Preis ohne Arbeit.","ein unnötiges Ding machen","ein wertloses Ding machen","-",NA,"auffällig sein","lange eingeschlafen sein",NA,"keine Ahnung","keine Ahnung","keine Ahnung","keine","keine Ahnung",NA,NA,"An der Frucht erkennt man den Baum. / durch die Blume sagen",NA,NA,NA,NA,NA,NA
2023-07-17 15:20:09,"weiblich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","nicht gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","keinen Sommer",NA,NA,NA,"Rosen",NA,"(bringen)?","Kirchenmaus","Elefanten machen","streuen","einheimsen",NA,NA,NA,NA,"Ich kenne das Sprichwort nicht. Es bedeutet vielleicht: Man soll Leuten nicht seine Geheimnisse/Pläne anvertrauen.","An einem Geschenk soll man nicht herumnörgeln","Ich kenne das Sprichwort nicht wirklich. Wahrscheinlich bedeutet es: Ein schönes Mädchen, eine schöne Frau bleibt nicht lange allein.",NA,NA,"Etwas wertvolles an jemanden verschwenden, der es nicht wertschätzen kann","Ich kenne das Sprichwort nicht, ich weiss nicht, was es bedeutet.",NA,"Ich kenne das Sprichwort nicht, ich weiss nicht, was es bedeutet.",NA,NA,"Lieber den Spatz in der Hand als die Taube auf dem Dach.",NA,NA,"sich in die Nesseln setzen","Jemanden hinters Licht führen",NA,NA,"jemandem die Würmer aus der Nase ziehen; keiner Fliege etwas zuleide tun",NA,NA,NA,NA,NA,NA
2024-03-06 16:33:45,"männlich","45-54 Jahre","Berufsausbildung","Muttersprache","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Frühling","wird die Spreu","kenne ich nicht","kenne ich nicht",NA,"in der Stadt","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Man soll seinen GegnerInnern seine Geheimnis nicht erzählen.","Ein Geschenktes ist nicht nachzuprüfen.","Gutes ist schnell weg.","Jede Sache hat eine Kehrseite.","Unnötiges unternehmen","Sinnloses machen","unkonzentriert sein",NA,"gut bekannt sein","schlafen","kenne ich nicht","Besser ein Spatz in der Hand als eine Taube auf dem Dach.","kenne ich nicht","kenne ich nicht","sich in die Nesseln setzen","jemanden hinters Licht führen",NA,NA,"einen Vogel haben / Einem geschenkten Gaul schaut man nicht ins Maul.",NA,NA,NA,NA,NA,NA
2024-02-10 17:50:18,"männlich","45-54 Jahre","Habilitation","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Sommer","ich weiss nicht","der Mäuse Tod","kein Moos an","Rosen","aus dem Wald","bringen","-","Elefanten machen","streuen","einheimsen","gehen",NA,NA,NA,"Wer sein Projekt zum Erfolg führen will, darf es seinen Feinden nicht verraten.","Ein Geschenk soll nicht negativ bewertet werden","Eine geschätzte Person ist immer begehrt.","kein Preis ohne Arbeit","eine Redundanz machen","keine Ahnung","Ich weiss das nicht",NA,"auffällig sein","-","unbekannt","keine andere Variante",NA,"keine Variante","Keine Variante","jemanden hinters Licht führen",NA,NA,"sich auf seinen Lorbeeren ausruhen/ Hunde, die bellen, beissen nicht.",NA,NA,NA,NA,NA,NA
2024-04-02 10:38:31,"weiblich","55-64 Jahre","Promotion","Muttersprache","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","nicht gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","Das kenne ich nicht","der Mäuse Tod","keine Ahnung","Rosen","aus dem Walde","-","Kirchenmaus","Elefanten machen","streuen","keine Ahnung","keine Ahnung",NA,NA,NA,"Zum Erfolg muss man seine Absicht nicht zu früh preisgeben.","Man soll ein Geschenk nicht nachprüfen.","Die Schönheit ist geschätzt.","Wo es keine Schwierigkeit gibt, kann man kein Glück hoffen.","Unwichtigkeit machen","etwas Sinnlosem frönen","geistesabwesend sein",NA,"jemand, der gut bekannt ist","tief schlafen",NA,"Der Spatz in der Hand ist besser als eine Taube auf dem Dach.","Ein Esel nennt den anderen Sackträger",NA,"sich in die Nesseln setzen","jemanden hinters Licht führen",NA,NA,"Schwein haben / einen Bärenhunger haben",NA,NA,NA,NA,NA,NA
2023-07-20 17:34:44,"weiblich","25-34 Jahre","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","unbekannt","gut bekannt","gut bekannt","nicht gut bekannt","nicht gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","keinen Lärm",NA,"des Halters Schmerz","einen Berg in Bewegung","Rosen","zu Hause","kommen","Kirchenmaus","Elefanten machen","streuen","einstreichen","springen",NA,NA,NA,"Wenn man Erfolg haben will, sollte man nicht alles rumerzählen.","Ein Geschenk soll nicht bewertet werden, da es schliesslich gratis war.","Alles vergeht, besonders Schönheit.",NA,NA,"Einen Einsatz, der von den Nutzniessenden nicht gewürdigt wird.","Vielleicht wenn man noch ganz zu Beginn einer neuen Idee steckt?",NA,"Etwas offensichtliches.",NA,NA,NA,NA,"Ein fauler Apfel infisziert hundert.","in den Nesseln sein","jemanden hinter die Fichte bringen",NA,NA,"Die Sau rauslassen, rot wie eine Rose sein.",NA,NA,NA,NA,NA,NA
2023-07-24 15:39:32,"weiblich","18-24 Jahre","Abitur/Matura","Muttersprache","sehr gut bekannt","nicht gut bekannt","nicht gut bekannt","unbekannt","unbekannt","unbekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt",NA,NA,NA,NA,"Rosen",NA,NA,"Kirchenmaus","Elefanten machen","legen","pflücken","gehen",NA,NA,NA,NA,"Ein Geschenk annehmen, nicht hinterfragen (""gratis isch gratis"").",NA,NA,NA,NA,NA,NA,"sehr aussergewöhnlich auffallen und daher bekannt sein",NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Das schleckt keine Kuh weg."" und ""Den Wald vor lauter Bäumen nicht sehen.""",NA,NA,NA,NA,NA,NA
2024-02-09 20:19:18,"männlich","65 und älter","Bachelor-Abschluss","Muttersprache","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","gut bekannt","sehr gut bekannt","sehr gut bekannt","unbekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","sehr gut bekannt","keinen Sommer","ich weiss nicht","der Mäuse Tod","kein Moos an","Rosen","aus dem Wald","bringen","Kirchenmaus","Elefanten machen","streuen","ernten","gehen",NA,NA,NA,"Man muss sein Projekt für sich behalten","Ein Geschenk soll man nicht ver-/beurteilen.","Eine schöne Sache ist begehrt.","Man hat einen Lohn nach einer Arbeit","unwichtig machen","unwichtig machen","weiss nicht",NA,"auffällig sein","lang schlafen","das weiss ich nicht","-","-","-","-","-",NA,NA,"Der Apfel fällt nicht weit vom Stamm. Äpfel mit Birnen vergleichen",NA,NA,NA,NA,NA,NA
